vma,make,vmo,model,category
ARIN,Ariens Co.,,,Farm
ARIN,Emperor,,,Farm
ARIS,Aristocrat Motor Home,,,Trucks
ARIT,Arista,,,Auto
ARLB,Arlberg,,,Snowmobile
ARMA,"Armadillo Trailers, Inc.",,,Trailer
ARMC,Armor Chassis LLC,,,Trailer
ARMH,Armor Homes of Virginia,,,Trailer
ARMN,"Airman, Inc.",,,Trailer
ARMO,Armor Mobile Homes Mfg. Co.,,,Trailer
ARMR,Armor Trailers,,,Trailer
ARMR,"Armor Mobile Systems, Inc.",,,Trucks
ARMR,"Armor Mobile Systems, Inc.",,,Trailer
ARMS,Armstrong Siddeley,,,Auto
ARMT,American Road Trailer Camper,,,Trailer
ARND,Arnold Travel Trailer Mfg. Co.,,,Trailer
ARNE,"Arne’s Welding, Ltd.",,,Trailer
ARNG,"Arising Industries, Inc.",,,Trailer
ARNL,Arnold Mfg. Co.,,,Trailer
ARNO,Arnolt-Bristol,,,Auto
ARNT,Arndt Trailers,,,Trailer
AROM,"Aero Mfg., Inc.",,,Trailer
AROS,Aros,,,Trailer
ARPS,Arps Div.,,,Farm
ARPS,Arps Div.,,,Construction
ARPS,Johnson Workhorse,,,Farm
ARRC,"Arrow Campers, Inc.",,,Trailer
ARRM,Arrow Motor Homes,,,Trailer
ARRO,Arrow,,,Trucks
ARRT,"Arrow Trailers, Inc.",,,Trailer
ARRW,Arrowhead Trailers,,,Trailer
ARSC,Ascort,,,Auto
ARSN,"Arsenal Trailer Mfg., Inc.",,,Trailer
ARTA,Art James Mfg.,,,Trailer
ARTG,Artcraft of Georgia,,,Trailer
ARTH,Artcraft Mobile Homes Mfg. Co.,,,Trailer
ARTI,Artie,,,Motorcycle
ARTM,"Art In Motion, LLC",,,Motorcycle
ARTX,"Artex Fabricators, Ltd.",,,Trailer
ASA,ASA,,,Auto
ASBU,"Asbury Inds., Inc.",,,Construction
ASBY,Ashby Brothers,,,Trailer
ASEC,All South Equipment Corp.,,,Trailer
ASHC,"Ashcroft Enterprises, LLC",,,Motorcycle
ASHD,Ashdown Mfg. Corp.,,,Trailer
ASHL,Ashley,,,Auto
ASHT,Ashton Trailer,,,Trailer
ASI,ASI Trailer,,,Trailer
ASIN,"Ashland Inds., Inc.",,,Farm
ASIN,"Ashland Inds., Inc.",,,Construction
ASMO,AS Motors,,,Motorcycle
ASMO,AS Motors,,,
ASMT,ASM Trailers,,,Trailer
ASPE,"Aspen Camper, Inc.",,,Trailer
ASPL,Asplundh Mfg. Div.,,,Trailer
ASPL,"Asplundh Mfg. Div., Asplundh Tree Expert Co.",,,Construction
ASPN,"Aspen Trailer, Inc.",,,Trailer
ASPS,Aspes,,,Motorcycle
ASPT,ASPT,,,Trailer
ASPW,"American Sportworks, LLC (Parent Co.; Manco)",,,Motorcycle
ASTC,"American Sport Trailer, LLC",,,Trailer
ASTL,All Star Trailers,,,Trailer
ASTO,Aston Martin,DB5,DB-5,Auto
ASTO,Aston Martin,DB6,DB-6,Auto
ASTO,Aston Martin,DB7,Volante (DB7),Auto
ASTO,Aston Martin,DB7,DB7 (Coupe),Auto
ASTO,Aston Martin,DB9,DB9,Auto
ASTO,Aston Martin,DBS,DBS,Auto
ASTO,Aston Martin,LAG,Lagonda,Auto
ASTO,Aston Martin,RPD,Rapide,Auto
ASTO,Aston Martin,VAN,Vantage,Auto
ASTO,Aston Martin,VIR,Virage (Saloon),Auto
ASTO,Aston Martin,VIR,Saloon (Virage),Auto
ASTO,Aston Martin,VNQ,Vanquish S,Auto
ASTO,Aston Martin,VNQ,Vanquish,Auto
ASTR,Astro Mobile Homes Mfg. Co.,,,Trailer
ASUN,Asuna,GT,GT,Auto
ASUN,Asuna,SE,SE,Auto
ASUN,Asuna,SUF,Sunfire,Auto
ASUN,Asuna,SUR,Sunrunner,Auto
ASVE,"Assembled Vehicle (see NCIC 2000 Operating Manual, Vehicle File chapter)",,,Auto
ATAS,Atlas,,,Motorcycle
ATCH,"Attachment Technologies, Inc. (ATI)",,,Construction
ATCI,"All Terrain Campers, Inc.",,,Trailer
ATCM,"Alltech Communications, LLC",,,Trailer
ATCO,"Atlas Copco, Inc.",,,Construction
ATEK,"Atek, LLC",,,Trailer
ATEX,Attex,,,Motorcycle
ATHE,Athey Products Corp.,,,Trailer
ATHE,Athey Products Corp.,,,Construction
ATHE,"Kolman Div., Athey Products Corp.",,,Construction
ATHN,"Athens Park Homes, LLC",,,Trailer
ATK,"ATK America, Inc.",,,Motorcycle
ATLA,Atlantic Coast Camper,,,Trailer
ATLC,Atlantic Mobile Corp.,,,Trailer
ATLD,Atlas Div.,,,Trailer
ATLN,Atlantic Mobile Sales,,,Trailer
ATLS,"Atlas Hoist & Body, Inc.",,,Trucks
ATLT,Atlas Tool & Mfg. Co.,,,Farm
ATOC,"A-T-O Construction Equipment Div., A-T-O, Inc.",,,Construction
ATSP,Atlas Specialty Products,,,Trailer
ATTC,Associated Truck & Trailer,,,Trailer
ATTR,"Advanced Transportation Technology R & D Co. (low speed veh.; LSV & Neighborhood Elec. Veh.; NEV)",,,Auto
ATV,"All-terrain Vehicle (for further explanation see NCIC 2000 Operating Manual, Vehicle File chapter)",,,Motorcycle
ATWC,"Aluma Tower Co., Inc.",,,Trailer
ATWO,Atwood Mobile Home,,,Trailer
ATWW,"ATW Ohio, LLC",,,Trailer
AUBN,Auburn Homes,,,Trailer
AUBU,Auburn,,,Auto
AUDI,Audi,100,100,Auto
AUDI,Audi,1GL,100GL,Auto
AUDI,Audi,1LS,100LS,Auto
AUDI,Audi,200,200LS,Auto
AUDI,Audi,400,4000,Auto
AUDI,Audi,500,5000,Auto
AUDI,Audi,850,850,Auto
AUDI,Audi,A2,A2,Auto
AUDI,Audi,A3,A3 (Sportback),Auto
AUDI,Audi,A5,A5,Auto
AUDI,Audi,A7,A7,Auto
AUDI,Audi,A80,80,Auto
AUDI,Audi,A80,80,Auto
AUDI,Audi,A90,90,Auto
AUDI,Audi,AA4,A4,Auto
AUDI,Audi,AA6,A6,Auto
AUDI,Audi,AA8,A8,Auto
AUDI,Audi,ALL,Allroad,Auto
AUDI,Audi,AS4,S4,Auto
AUDI,Audi,AS6,S6,Auto
AUDI,Audi,AS7,S7,Auto
AUDI,Audi,AS8,S8,Auto
AUDI,Audi,AVA,Avant,Auto
AUDI,Audi,CAB,Cabriolet,Auto
AUDI,Audi,FOX,80 LS (Fox),Auto
AUDI,Audi,Q5,Q5,Auto
AUDI,Audi,Q7,Q7,Auto
AUDI,Audi,QTO,Quattro,Auto
AUDI,Audi,R8,R8,Auto
AUDI,Audi,RS4,RS4,Auto
AUDI,Audi,RS5,RS5,Auto
AUDI,Audi,RS6,RS6,Auto
AUDI,Audi,RS7,RS7,Auto
AUDI,Audi,S5,S5,Auto
AUDI,Audi,S90,Super 90,Auto
AUDI,Audi,TRS,TTRS,Auto
AUDI,Audi,TT,2000 TT-Coupe,Auto
AUDI,Audi,TT,"2000 TT-Roadster (Same VMO as TT Coupe)",Auto
AUDI,Audi,TTS,TTS,Auto
AUDI,Audi,V8,V-8,Auto
AUG,Augustana,,,Motorcycle
AUGU,"Augusta RV, LLC",,,Trailer
AUHE,Austin-Healy,100,100 Series,Auto
AUHE,Austin-Healy,300,3000 Series,Auto
AUHE,Austin-Healy,SAX,Saxon,Auto
AUHE,Austin-Healy,SPR,Sprite,Auto
AUKR,Autokraft,,,Auto
AULI,Aulick Mfg.,,,Trailer
AUPA,"Aupa Motorcycle Co., Ltd. or Hongdou-Aupa Motorcycle Co. Ltd.",,,Motorcycle
AUPA,"Hongdou-Aupa Motorcycle Co. Ltd. or Aupa Motorcycle Co., Ltd.",,,Motorcycle
AUPR,"Austin Products, Inc.",,,Farm
AURA,Auranthetic Charger,,,Motorcycle
AURO,Aurora Mobile Homes,,,Trailer
AURR,Aurora,,,Auto
AUST,Austin,,,Trucks
AUST,Austin,,,Auto
AUST,Austin,--,Princess (see make MG),Auto
AUST,Austin,110,1100,Auto
AUST,Austin,180,1800,Auto
AUST,Austin,850,850,Auto
AUST,Austin,A10,A99 & 110,Auto
AUST,Austin,A40,A40,Auto
AUST,Austin,A55,A55,Auto
AUST,Austin,A60,Cambridge,Auto
AUST,Austin,CPS,"Cooper ""S""",Auto
AUST,Austin,MAR,Marina,Auto
AUST,Austin,MIC,Mini Cooper,Auto
AUST,Austin,MIN,Mini,Auto
AUST,Austin,WES,Westminster,Auto
AUTA,Autobianchi,,,Auto
AUTB,Autobieu,,,Auto
AUTE,Automatic Equipment Mfg.,,,Trailer
AUTH,Auto Homes Inds.,,,Trailer
AUTI,Auto Trailer Co.,,,Trailer
AUTM,Auto-Mate,,,Trailer
AUTO,Autocar,,,Trucks
AUTO,Autocar,,,Auto
AUTR,Autocarrier & A.C.,,,Auto
AUTS,"Auto Ski, Inc.",,,Snowmobile
AUTT,"Automatic Drilling Machines, Inc.",,,Construction
AUTU,Auto Union,,,Auto
AUWE,Austin-Western Div.,,,Construction
AVA,Ava Travel Trailer,,,Trailer
AVAC,Avalair Corp.,,,Trailer
AVAL,Available,,,Trucks
AVAN,Avanti,,,Motorcycle
AVAO,Avalon Mobile Homes,,,Trailer
AVCO,Avco Corp.,,,Trucks
AVCO,Avco Corp.,,,Trailer
AVCO,Avco Corp.,,,Farm
AVEN,Avenger,,,Auto
AVGN,Avenger Corp.,,,Trailer
AVIA,Avia,,,Auto
AVIO,Avion Coach Corp.,,,Trailer
AVNT,Avant,,,Trailer
AVRA,"Avera Motors, Inc. (electric vehicles)",,,Auto
AVSP,"Adventure Sports Products, Inc.",,,Trailer
AVTI,Avanti,AAV,Series A,Auto
AVTI,Avanti,ABV,Series B,Auto
AWAY,Away We Go Travel Trailer,,,Trailer
AWDE,"All Wheel Drive Equip. Mfg., Inc.",,,Trailer
AXIS,Axis Corp.,,,Trailer
AXLE,Axle & Equipment Sales Co.,,,Trailer
AYRW,Ayr-Way Campers,,,Trailer
AZAL,Azalea Homes,,,Trailer
AZCA,AZCAL Trailers,,,Trailer
AZMF,A-Z Mfg.,,,Trailer
AZTC,"Aztec Products, Inc.",,,Trailer
AZTE,Aztec Mobile Homes,,,Trailer
AZTM,"Arizona Trailer Mfg., Inc.",,,Trailer
AZTS,"Arizona Trailer Specialist, Inc.",,,Trailer
AZTT,"Aztec Trailer, Inc.",,,Trailer
AZTX,AZTX or Az-Tex Trailers,,,Trailer
AZUR,Azure Dynamics,,,Truck
AZUR,"Azure Dynamics (electric vehicles)",,,Auto
BABC,Babcock's Mobile Home Mfg. Co.,,,Trailer
BACC,Bar-C Horse Trailer,,,Trailer
BACK,"Backyard Choppers, LLC",,,Motorcycle
BACR,"Backroad Choppers or Backroad Choppers, LLC",,,Motorcycle
BADA,"Badass Industries, LLC",,,Motorcycle
BADC,"Badger Construction Equipment Co., Div. of Burro-Badger Corp.",,,Construction
BADE,"Balderson, Inc.",,,Construction
BADG,Badger Trailer Co.,,,Trailer
BADR,Badger Machine Div.,,,Construction
BAGG,Baggetts Trailer Connection,,,Trailer
BAGL,"Bag Lady, Inc. (Megga Baggers)",,,Construction
BAGL,"Bag Lady, Inc. (Megga Baggers)",,,Trailer
BAIH,Beijing Automotive Industry Holding Co.,,,Trucks
BAIL,Baillie's Tri-R Welding,,,Trailer
BAIL,Tri-R,,,Trailer
BAIN,Bainbridge Motor Home,,,Trucks
BAJA,Baja U.S.A.,,,Motorcycle
BAJJ,Bajaj Auto Ltd.,,,Motorcycle
BAKB,Baker Trailers,,,Trailer
BAKE,Baker Equipment & Engineering Co.,,,Trailer
BAKI,Baker Trailer & Body Co.,,,Trailer
BAKR,Baker Material Handling Corp.,,,Construction
BALB,Balboa Motor Home,,,Trucks
BALD,Baldwin Enterprises,,,Trailer
BALE,BaleMuvr,,,Trailer
BALI,"Balko, Inc.",,,Trailer
BALI,Sno Van,,,Trailer
BALK,Balkan,,,Motorcycle
BALL,Ballien Mfg. Co.,,,Trailer
BALT,"Baltz Inds., Inc.",,,Trailer
BALT,Durabilt,,,Trailer
BALZ,Balzer Mfg. Corp.,,,Farm
BAMA,"Badger-Northland, Inc.",,,Farm
BAMC,Baron Motorcycle Co.,,,Motorcycle
BAME,Bame Three Axle Trailer,,,Trailer
BAMH,Barrington Homes,,,Trailer
BAND,Bandera Trailer,,,Trailer
BANE,Banens Trailers,,,Trailer
BANH,"Bankhead Enterprises, Inc.",,,Trailer
BANK,Bankhead Welding Service,,,Trailer
BANM,Bantam,,,Motorcycle
BANN,Banner Homes Corp.,,,Trailer
BANN,"Banner Inds., Inc.",,,Trucks
BANN,"Banner Inds., Inc.",,,Construction
BANT,Bantam,,,Construction
BANT,Bantam (for reference only; see BANM),,,
BANT,Bantam (for reference only; see BNTM),,,
BANT,Bantam Camp Trailer (for reference only; see BATM),,,
BANT,Shield Telekrane,,,Construction
BAOD,"Baodi Special Automobile Mfg. Co. or Yingkou Special Automobile Mfg. Co.",,,Trailer
BAOT,"Baotian Motorcycle Ind. Co., Ltd. or Jiangmen Sino-Hong Kong Baotian Motorcycle Ind., Co, Ltd.",,,Motorcycle
BAOT,"Jiangmen Sino-Hong Kong Baotian Motorcycle Ind., Co., Ltd. or Baotian Motorcycle Ind. Co., Ltd.",,,Motorcycle
BARA,Bar-A-Horse Trailer,,,Trailer
BARB,Barber-Greene Co.,,,Construction
BARB,"Telsmith Div., Subsidiary of Barber-Greene Co.",,,Construction
BARC,"Barcraft Homes, Inc.",,,Trailer
BARE,Baretta (for reference only; see BRTT),,,
BARE,"Barrett Trailers, Inc.",,,Trailer
BARE,Circle B Livestock Trailers,,,Trailer
BARH,Barth Corp.,,,Trailer
BARI,Barrentine Mfg. Co.,,,Trailer
BARK,"Barker Trailer Mfrs., Inc.",,,Trailer
BARL,Bartlett Trailer Corp.,,,Trailer
BARN,Barnes Pump Drain Unit,,,Trailer
BARO,"Baron Homes, Inc.",,,Trailer
BARR,Barret,,,Trucks
BART,Bartolini Chassis Trailer,,,Trailer
BASH,"Astronautical BaShan Motorcycle Mfg. Co., Ltd. or BaShan Motor/BaShan Motorcycle",,,Motorcycle
BASH,"BaShan Motor/BaShan Motorcycle or Astronautical BaShan Motorcycle Mfg. Co., Ltd.",,,Motorcycle
BASS,"Bass Trail Trailer Co., Inc.",,,Trailer
BATA,"Batavia Trailers, Inc.",,,Trailer
BATL,B & A Trailers,,,Trailer
BATM,Bantam Camp Trailer,,,Trailer
BAUG,Baughman Mfg. Co.,,,Trailer
BAUR,Bauer Compressors,,,Trailer
BAY,Bay Trailers,,,Trailer
BAYC,"Bay City Shovels, Inc.",,,Construction
BBBC,Bare Bones Bobbers and Choppers,,,Motorcycle
BBBR,Bobber Shop Motorcycles or Bobber Motorcycles,,,Motorcycle
BBBS,B.B.’s Trailers,,,Trailer
BBCB,B & B Custom Built Trailers,,,Trailer
BBCC,"Big Boar Custom Cycles, Inc.",,,Motorcycle
BBCH,B & B Cozy-Home,,,Trailer
BBEE,BeeBee Sales Co.,,,Trailer
BBMI,B & B Manufacturing,,,Auto
BBMW,"Bad Boy, Inc. or Bad Boy Mowers",,,Farm
BBMW,"Bad Boy, Inc. or Bad Boy Mowers",,,
BBMW,"Bad Boy, Inc. or Bad Boy Motors",,,Motorcycle
BBOY,Bad Boy Buggies,,,Motorcycle
BBRN,Biker Barn or Biker Barn Cycles,,,Motorcycle
BBTM,"B & B Trailer Mfg., Inc.",,,Trailer
BBW,Bourget's Bike Works,,,Motorcycle
BBWI,"Brownell Systems, Inc. or Brownell Boat Works, Inc.",,,Trailer
BCGC,"Budget Custom Golf Cars, LLC",,,Auto
BCIB,BCI or Bus and Coach International,,,Trucks
BCIO,"Baccio (Parent company-Wangye Power Co., Ltd. or Zhejiang Taizhou Wangye Power Co., Ltd.",,,Motorcycle
BCKC,Beck Corporation,,,Trailer
BCKM,"Buckmobile Co. or The Buckmobile Co.",,,Auto
BCKY,"Backyard Trailers, LLC",,,Trailer
BCMW,Beacon Metal Works,,,Trailer
BDBY,"Bad Boy, Inc. (low speed elec. veh.)",,,Auto
BDFL,Bender-Florin,,,Motorcycle
BEAC,"Beachcomber Inds., Ltd.",,,Trailer
BEAD,Beardmore,,,Auto
BEAE,Beaver Monterey Motor Home,,,Trucks
BEAI,Beaird Payliner,,,Trailer
BEAL,"Beall, Inc.",,,Trailer
BEAM,Beach-Craft Motor Homes Corp.,,,Trucks
BEAN,Bear Industrial Trailers,,,Trailer
BEAR,"Motor Homes of America, Inc.",,,Trucks
BEAT,"Beall Trans-Liner, Inc.",,,Trailer
BEAU,Beaumont (for reference only; see ACAD),,,
BEAV,Beaver Trailer,,,Trailer
BEBE,Bebe,,,Motorcycle
BEBO,Bee Bob Trailers,,,Trailer
BEC,Beck Camping Trailer,,,Trailer
BECK,"Becker, Charles H., Inc.",,,Trailer
BECK,"Charles H. Becker, Inc.",,,Trailer
BEDE,Bedell Trailers,,,Trailer
BEDF,Bedford,,,Auto
BEDX,Bendix Corp.,,,Trucks
BEDX,Bendix Corp.,,,Trailer
BEDX,Statesman Mobile Home,,,Trailer
BEEA,Beechcraft Mobile Home,,,Trailer
BEEC,"Beechwood Inds., Inc.",,,Trailer
BEEE,"Bee-Line Travel Trailers or Mobile Homes, Inc.",,,Trailer
BEEG,Beemer & Grubb Enterprises,,,Trailer
BEEH,Beechwood Motor Home,,,Trucks
BEEI,"Bee Trailers, Inc.",,,Trailer
BEEM,Beemer Trailer Mfg. & Sales,,,Trailer
BEET,Beeat Truck Mount Camper,,,Trailer
BEIL,"Beiler Hydraulics, Inc.",,,Trailer
BEJE,Beijing Jeep,,,Trucks
BEJE,Beijing Jeep,,,Auto
BEJE,Beijing Jeep,GST,Gang Star,Auto
BEJE,Beijing Jeep,TK,Gang Star (sport utility),Auto
BELA,Bel-Aire Campers or Coaches,,,Trailer
BELE,Bel-Aire Mobile Homes,,,Trailer
BELF,Bell Mfg. Corp.,,,Trailer
BELH,Belshe Trailer,,,Trailer
BELL,Bella Casa Co.,,,Trailer
BELN,Bellamy's Mfr. & Research Products,,,Trailer
BELP,Bellaire Products,,,Trailer
BELR,Bellew's Perris Balley Campers,,,Trailer
BELS,Bell's Camp Trailers,,,Trailer
BELT,Bell's Custom Coaches,,,Trailer
BELU,"Belarus Machinery, Inc.",,,Farm
BELV,Belvedere Mobile Homes,,,Trailer
BEND,Bendron Enterprises,,,Trailer
BENE,Benelli (Italy),,,Motorcycle
BENL,Benlo Co.,,,Trailer
BENS,"Benson Truck Bodies, Inc.",,,Trailer
BENT,Bentley,ARN,Arnage,Auto
BENT,Bentley,AZU,Azure,Auto
BENT,Bentley,BRO,Brooklands,Auto
BENT,Bentley,CNV,GTC (convertible),Auto
BENT,Bentley,CON,Continental Convertible,Auto
BENT,Bentley,COR,Corniche,Auto
BENT,Bentley,EGT,Eight,Auto
BENT,Bentley,FPR,Flying Spur,Auto
BENT,Bentley,GT,GT,Auto
BENT,Bentley,MUL,Mulsanne,Auto
BENT,Bentley,TBR,Turbo R,Auto
BEPO,"Beaird-Poulan Div., Emerson Electric Co.",,,Farm
BEPO,"Beaird-Poulan Div., Emerson Electric Co.",,,Construction
BERE,Berkeley Pump Co.,,,Farm
BERG,Bergantine,,,Auto
BERH,Berkshire Inds.,,,Trailer
BERK,Berkley,,,Auto
BERM,Bermar Mfg. Corp.,,,Trailer
BERO,Bertone,CAB,Cabrio,Auto
BERO,Bertone,PAL,Palinuro,Auto
BERO,Bertone,X19,X19,Auto
BERR,Bering,,,Trucks
BERT,Bertran Trailer,,,Trailer
BERU,Bermuda Bikes (for reference only; see FLAN),,,
BERV,Ber-Vac (Canada),,,Farm
BESA,"Besasie Automobile Co., Inc.",BAC,Baci,Auto
BEST,"Best Lane Enterprises, Inc. (dba-Ramp Free)",,,Trailer
BETA,Beta,,,Motorcycle
BETE,Betten France Transportation,,,Trailer
BETH,Bethany Fellowship,,,Trailer
BETT,Better Built,,,Trailer
BEVR,Beaver Mfg. Corp.,,,Farm
BFOS,B. Foster & Co.,,,Trailer
BFSC,B & F Specialties Co.,,,Trailer
BGBE,Big Bee Trailers,,,Trailer
BGCF,Big Chief Motorsports,,,Motorcycle
BGCH,Big Bear Choppers,,,Motorcycle
BGDG,"Big Dog Custom Motorcycles, Inc.",,,Motorcycle
BGHM,Bingham,,,Motorcycle
BGLG,Biglug Trailer Works,,,Trailer
BGTI,"B & G Trailers, Inc.",,,Trailer
BGVW,"Bridgeview Mfg., LLC",,,Trailer
BHME,Burlington Homes of Maine,,,Trailer
BHNK,Behnke Enterprises,,,Trailer
BHWS,"B H Workman & Sons, Inc. (Workman and Sons, Inc.)",,,Truck
BHWS,"B H Workman & Sons, Inc. (Workman and Sons, Inc.)",,,Trailer
BHZD,"Biohazard Cycles, Inc.",,,Motorcycle
BIAN,Bianchi,,,Motorcycle
BIAN,"Snark (mfd. by Bianchi Co., Italy; national distributor is Snark Mopeds, Inc.)",,,Motorcycle
BIBB,"Bibb Welding & Trailers, LLC",,,Trailer
BIBK,Big Inch Bikes,,,Motorcycle
BIDD,Biddle,,,Auto
BIEW,Biewer Inds.,,,Trailer
BIGB,Big Bubba's,,,Trailer
BIGF,"Bigfoot Ind., Inc.",,,Trailer
BIGH,Big Horn Trailer,,,Trailer
BIGI,Big Well Inds.,,,Trailer
BIGJ,Big Joe Mfg. Co.,,,Construction
BIGM,Bigman Electric Vehicles or B.I.G. Man (low speed vehicle),,,Auto
BIGT,Big Tex,,,Trailer
BIGV,"Big Valley Trailers, Inc.",,,Trailer
BIGW,Big W Sales,,,Trailer
BILE,Biltmore Mobile Homes,,,Trailer
BILK,Bilken Enterprises,,,Trailer
BILL,Bills Welding Model Trailer,,,Trailer
BILR,Biltrite Mobile Homes,,,Trailer
BILT,Biltwell (or Builtwell),,,Trailer
BILT,Builtwell,,,Trailer
BIMO,Bi-Motor Stallion,,,Motorcycle
BIMT,Bimota Motorcycles,,,Motorcycle
BINK,"Binkley Co., The",,,Trailer
BINS,Binks Mfg. Co.,,,Trailer
BINT,Bintelli,,,Motorcycle
BIOT,Biot Camping Trailer,,,Trailer
BIRD,Bird,,,Motorcycle
BIRE,"Bird Engineering, Inc.",,,Trailer
BIRE,Max Trailer,,,Trailer
BIRK,"Birkin Cars (Pty), Ltd.",,,Auto
BIRM,"Birmingham Mfg. Co., Inc.",,,Trailer
BISN,"Bison Mfg., LLC",,,Trailer
BITT,Bitter,,,Auto
BIVO,"Bivouac Inds., Inc.",,,Trucks
BIZZ,Bizzarrini,,,Auto
BJAA,Baja Custom Trailers,,,Trailer
BJCT,BJ's Custom Trailers,,,Trailer
BJEN,"B & J Enterprises, Inc.",,,Trailer
BJMC,BJ Mfg. Co.,,,Trailer
BJMS,Bill James Trailer Sales,,,Trailer
BJTL,"Big John Trailers, Inc.",,,Trailer
BKDN,Buck Dandy Co.,,,Trailer
BKHM,"Beckham Trailer, Inc.",,,Trailer
BKTK,Back Track Trailers,,,Trailer
BLAB,Black Built,,,Trailer
BLAC,"Black Diamond Trailer, Inc.",,,Trailer
BLAD,Blade,,,Snowmobile
BLAE,Blazer,,,Trailer
BLAE,Blazer,,,Motorcycle
BLAH,Blanchard Foundry Co.,,,Trailer
BLAI,Blair Horse Trailer,,,Trailer
BLAK,Black Diamond Enterprises,,,Trailer
BLAN,Blanco (for reference only; see INGL),,,
BLAO,Blaw-Knox Construction Equipment Co.,,,Construction
BLAR,Blaze Inds.,,,Trailer
BLAS,Blaine's Custom Mfg. Service,,,Trailer
BLAW,Blackwell Burner Co.,,,Trailer
BLAW,Blackwell Burner Co.,,,Construction
BLAZ,Blazon Mobile Homes Corp.,,,Trailer
BLCH,Builders Choice,,,Trailer
BLDC,Black & Decker,,,Farm
BLDG,"Bulldog Trailers Sales, Inc.",,,Trailer
BLDM,Blademor,,,Construction
BLGA,Blue Gator Boat Trailer,,,Trailer
BLGR,"Bluegrass Trailer Sales, Inc. (dba- Bluegrass Trailer Mfg.)",,,Trailer
BLIN,B Line Farm Equipment Co.,,,Farm
BLIN,B-Line Farm Equipment,,,Trailer
BLIT,Blitz Mfg. Co.,,,Trailer
BLIX,Blix Coach,,,Trailer
BLIZ,"Blizzard Mfg., Inc.",,,Trailer
BLJX,"Bil-Jax, Inc.",,,Trailer
BLJX,"Bil-Jax, Inc.",,,Construction
BLKB,Black Bear Mfg.,,,Trailer
BLKE,"Bulk Equipment Mfr., Inc.",,,Trailer
BLKH,"Black Hawk Bikes or Blackhawk Motor Works, Inc.",,,Motorcycle
BLKH,"Blackhawk Motor Works, Inc., or Black Hawk Bikes",,,Motorcycle
BLKI,"Bulk Solutions, LLC or Bulk International S. DE R.L. DE C.V.",,,Trailer
BLKS,"Bulk Solutions, LLC",,,Trailer
BLKT,Blackstone Trailer Company LP,,,Trailer
BLLU,Bellue's Welding,,,Trailer
BLLV,Bellview Camper,,,Trucks
BLMT,Belmont Machine,,,Trailer
BLOM,"Bloomer Trailer Mfg., Inc.",,,Trailer
BLOO,"Bloom, Inc.",,,Trailer
BLOT,Ballot,,,Auto
BLRG,Blueridge Trailers,,,Trailer
BLRT,"Bilt-Rite Trailers, Inc.",,,Trailer
BLST,Blake Trailers,,,Trailer
BLTL,"Blair Trailers, Inc.",,,Trailer
BLTR,"Bullet Trailers, Inc.",,,Trailer
BLUB,Blue Bird Body Co.,,,Trucks
BLUB,Blue Bird Body Co.,,,Trailer
BLUE,Blue Ribbon Coach Co.,,,Trailer
BLUG,Blue Ridge Pre-Built Homes,,,Trucks
BLUG,Blue-Ridge Pre-Built Mobile Homes,,,Trailer
BLUG,Honey Motor Home,,,Trucks
BLUI,Bluebird Intl.,,,Construction
BLUJ,Blue Trailer,,,Trailer
BLUJ,"Blue, John Co.",,,Trailer
BLUJ,John Blue Co.,,,Trailer
BLUL,"Blueline Mfg. Co., Inc.",,,Trailer
BLUN,"Blue Line Industries, LLC",,,Motorcycle
BLUT,"Blue Ribbon Trailers, Ltd.",,,Trailer
BLWB,Big Lowboy S. DE R.L. DE C.V.,,,Trailer
BLYD,Billy Dozier Trailers,,,Trailer
BMBM,B.M.B. Mfg. Co.,,,Trailer
BMBM,B-M-B Mfg. Co.,,,Farm
BMBR,Bombardier,,,
BMBR,"Bombardier, Inc.",,,Snowmobile
BMBR,Moto-Ski,,,Snowmobile
BMBR,Recreational Products Group,,,Snowmobile
BMBR,Ski-Doo,,,Snowmobile
BMC,BMC,,,Trucks
BMC,B M C,PRI,Princess,Auto
BMCM,BMC Motorcycle Co.,,,Motorcycle
BMEQ,Boise Mobile Equipment,,,Trucks
BMFT,"BMF Trailer Works, LLC",,,Trailer
BMMF,B & M Mfg. Co.,,,Trailer
BMMF,Haul-Rite Boat Trailer,,,Trailer
BMMF,Sea King Boat Trailer,,,Trailer
BMMM,Beatrice Motor Mart Mfg.,,,Trailer
BMMM,Easy-Haul,,,Trailer
BMOF,"Blue Mountain Outfitters, Inc.",,,Trailer
BMSM,BMS Motorsports,,,Motorcycle
BMTR,Boat Master Trailers,,,Trailer
BMW,BMW (Germany),,,Motorcycle
BMW,BMW,002,2002 Series,Auto
BMW,BMW,128,128i,Auto
BMW,BMW,135,135i,Auto
BMW,BMW,160,1600,Auto
BMW,BMW,180,1800,Auto
BMW,BMW,20,200,Auto
BMW,BMW,200,2000 Series,Auto
BMW,BMW,250,2500 Series,Auto
BMW,BMW,28,2.8,Auto
BMW,BMW,280,2800 Series,Auto
BMW,BMW,28I,328i,Auto
BMW,BMW,30,3.0 Si,Auto
BMW,BMW,318,318i,Auto
BMW,BMW,320,320i,Auto
BMW,BMW,323,323i,Auto
BMW,BMW,325,325,Auto
BMW,BMW,325,325Xi,Auto
BMW,BMW,328,328is,Auto
BMW,BMW,328,328xi,Auto
BMW,BMW,32I,325i,Auto
BMW,BMW,330,330I,Auto
